no2,co,so2,o3,pm10,pm25
1.85,0.0734,0.38,26.53,22.64,15.77
1.79,0.0671,0.36,26.82,21.82,15.34
2.07,0.0585,0.26,25.44,26.99,18.97
1.6,0.0588,0.24,25.59,25.95,18.06
1.93,0.0607,0.42,25.81,22.4,15.49
1.45,0.0619,0.36,25.55,22.14,15.05
1.12,0.0616,0.3,28.84,13.42,8.98
1.42,0.0603,0.32,38.4,19.74,13.15
1.3,0.0704,0.36,38.62,20.28,13.53
1.41,0.072,0.34,38.37,22.63,15.07
1.73,0.0641,0.37,37.6,19.44,13.17
1.9,0.066,0.47,33.85,14.86,10.35
1.62,0.066,0.44,29.52,17.54,12.09
1.6,0.0613,0.35,28.99,16.15,10.93
1.71,0.0611,0.35,29.57,18.75,12.56
1.4,0.0616,0.45,29.54,21.25,14.59
2.02,0.0582,0.39,29.18,20.58,14.5
1.77,0.0633,0.41,29.24,21.43,14.57
1.64,0.0644,0.35,30.58,16.23,10.84
1.65,0.0659,0.4,31.67,16.25,10.92
1.82,0.0652,0.37,32.46,21.16,14.07
1.88,0.0633,0.34,35.48,23.22,15.61
1.82,0.0623,0.28,35.98,32.34,21.64
2.04,0.0644,0.33,36.0,27.08,18.4
2.34,0.0678,0.41,35.47,36.37,25.47
1.82,0.0665,0.39,34.28,36.16,25.42
1.71,0.0626,0.28,33.75,19.38,13.17
1.83,0.063,0.41,32.23,27.56,18.45
1.85,0.0654,0.39,30.77,21.82,14.79
1.76,0.0654,0.31,28.19,18.31,12.57
1.89,0.067,0.33,29.0,22.63,15.67
2.12,0.0691,0.42,29.36,28.06,19.48
2.0,0.0721,0.37,29.88,21.82,15.36
1.95,0.0722,0.35,31.0,29.05,20.13
2.08,0.0713,0.41,30.36,25.97,17.93
1.38,0.0658,0.43,29.16,11.27,7.88
1.7,0.0662,0.33,27.5,17.58,12.21
1.99,0.0673,0.36,28.27,22.47,15.57
1.87,0.0664,0.37,29.4,21.26,14.73
2.1,0.0659,0.37,30.03,19.45,13.56
2.79,0.0666,0.36,30.59,36.67,26.08
2.64,0.0663,0.39,31.1,43.41,30.94
2.1,0.0639,0.36,30.8,25.1,17.58
1.95,0.064,0.4,31.56,30.01,20.54
1.69,0.0678,0.3,31.08,30.27,20.7
1.32,0.0642,0.2,28.58,22.89,15.87
1.66,0.0618,0.29,28.37,19.45,13.56
1.82,0.0672,0.36,28.33,24.45,16.66
1.91,0.0685,0.38,30.62,24.43,16.59
1.57,0.0681,0.4,31.85,17.5,11.95
1.73,0.0683,0.36,31.7,22.8,15.49
1.7,0.0666,0.36,32.16,18.02,12.31
1.95,0.0643,0.35,31.89,23.58,16.04
2.02,0.0646,0.37,31.84,26.77,18.34
1.85,0.0639,0.36,32.26,21.55,14.76
1.33,0.0604,0.32,30.35,14.55,9.95
1.28,0.0628,0.3,29.11,15.27,10.36
1.25,0.0583,0.3,29.49,20.23,14.06
1.79,0.0594,0.21,29.02,24.1,16.91
1.65,0.059,0.18,28.68,26.42,18.39
1.45,0.0578,0.23,28.8,15.17,10.7
1.55,0.0583,0.32,28.87,20.42,14.28
1.31,0.0569,0.32,28.75,23.87,16.76
1.21,0.0586,0.2,28.83,13.37,9.38
1.64,0.0621,0.15,29.14,16.43,11.59
1.68,0.0634,0.14,28.7,17.57,12.37
1.98,0.0698,0.23,28.43,24.28,17.08
1.52,0.0707,0.33,28.03,19.07,13.39
1.81,0.0646,0.32,28.3,27.84,19.5
1.52,0.0755,0.33,29.2,24.25,16.92
1.44,0.0692,0.14,31.1,20.96,14.75
1.39,0.0665,0.12,32.17,22.21,15.73
1.59,0.0711,0.14,30.15,23.64,16.76
1.72,0.0746,0.15,28.86,22.71,16.1
1.75,0.071,0.17,26.91,23.74,16.72
1.9,0.0667,0.21,26.01,23.75,16.7
1.77,0.0638,0.23,25.61,25.24,17.67
1.67,0.0718,0.23,25.75,26.65,18.69
2.08,0.0761,0.24,25.51,27.38,19.3
1.92,0.0745,0.25,25.95,21.9,15.49
1.53,0.0723,0.27,26.1,25.33,17.98
1.87,0.0728,0.3,26.24,27.39,19.6
1.51,0.0708,0.38,26.77,21.91,15.65
1.7,0.0797,0.34,27.04,18.25,13.01
1.62,0.0794,0.24,27.17,23.74,16.89
1.85,0.0746,0.22,26.75,17.92,12.74
2.17,0.068,0.26,26.54,29.57,21.05
1.54,0.0605,0.25,25.86,30.32,21.67
1.57,0.0579,0.21,25.75,23.86,17.06
1.67,0.0563,0.19,25.83,24.69,17.56
1.92,0.0564,0.23,26.06,20.72,14.68
1.66,0.0534,0.2,25.75,21.25,15.04
1.41,0.0523,0.21,25.7,21.22,14.81
1.55,0.0516,0.2,25.75,22.78,15.62
1.5,0.0519,0.22,25.73,17.67,12.21
1.56,0.0576,0.4,25.86,21.7,14.85
1.67,0.0574,0.41,26.24,17.61,12.26
1.34,0.0577,0.3,26.8,17.69,12.07
1.31,0.0566,0.24,26.71,18.9,12.63
1.25,0.0556,0.3,26.84,17.88,12.02
1.45,0.0573,0.34,27.17,22.89,15.45
1.39,0.057,0.32,27.97,17.25,11.83
1.5,0.0571,0.34,27.69,23.9,16.35
1.35,0.0556,0.43,27.58,19.02,13.12
1.31,0.0535,0.23,27.36,14.89,10.32
1.49,0.0538,0.19,27.37,17.95,12.49
1.65,0.0548,0.27,27.42,16.16,11.34
1.55,0.0573,0.42,27.26,26.76,18.62
1.12,0.0609,0.44,27.37,22.93,15.93
1.72,0.0641,0.4,27.57,14.93,10.51
1.57,0.0629,0.48,27.68,21.04,14.71
1.79,0.0679,0.26,27.63,18.38,12.95
1.45,0.0635,0.12,27.24,19.48,13.63
1.3,0.0615,0.16,26.37,21.0,14.38
1.42,0.0562,0.27,26.3,19.62,13.16
1.55,0.0548,0.71,26.48,25.75,17.29
1.4,0.0541,0.41,26.05,18.3,12.65
1.57,0.0575,0.22,25.9,17.93,12.4
1.51,0.0613,0.25,26.01,21.33,14.9
1.13,0.0583,0.24,26.2,17.13,11.99
1.09,0.053,0.23,26.44,15.36,10.76
1.32,0.0523,0.26,26.74,22.45,15.67
1.24,0.0547,0.52,26.62,12.91,8.96
1.54,0.056,0.45,26.3,14.63,10.16
1.35,0.057,0.3,26.59,14.53,10.15
1.55,0.058,0.18,26.7,16.89,11.88
1.73,0.0557,0.19,26.71,24.81,17.17
1.44,0.0539,0.47,26.48,22.43,15.29
1.27,0.0583,0.33,26.43,19.15,13.06
1.72,0.0582,0.24,26.2,18.19,12.72
1.5,0.0513,0.24,26.0,15.21,10.67
1.79,0.0519,0.35,25.79,20.05,13.98
1.58,0.0494,0.29,25.85,20.65,14.37
1.53,0.05,0.25,25.9,16.7,11.65
1.67,0.0526,0.47,26.09,14.92,10.4
1.39,0.0503,0.27,26.31,18.85,12.99
1.83,0.0501,0.23,26.18,17.96,12.48
1.74,0.0508,0.23,26.11,25.96,17.91
1.65,0.0509,0.57,26.42,31.33,21.66
1.59,0.0505,0.23,26.98,25.27,17.31
1.62,0.0536,0.41,26.96,20.17,13.98
1.34,0.053,0.32,26.76,20.16,14.0
1.45,0.0507,0.25,26.71,22.46,15.62
1.67,0.0505,0.27,26.53,19.62,13.55
1.58,0.0506,0.26,26.27,22.99,15.76
1.43,0.0509,0.29,26.37,17.34,11.91
1.43,0.0523,0.23,26.44,16.33,11.28
1.66,0.0557,0.25,26.54,16.74,11.69
1.53,0.0548,0.23,26.89,20.03,14.0
1.49,0.0577,0.36,27.07,28.05,19.69
1.41,0.0558,0.32,26.97,30.22,21.13
1.45,0.0561,0.47,27.12,19.31,13.62
1.65,0.062,0.21,27.12,24.72,17.47
1.44,0.0635,0.15,27.4,21.33,15.1
1.66,0.0633,0.17,27.54,20.55,14.72
2.07,0.0645,0.21,26.89,17.01,12.37
1.57,0.0587,0.39,26.87,22.61,16.44
1.57,0.057,0.24,26.73,20.72,14.97
1.49,0.0576,0.2,26.83,26.6,19.13
1.6,0.0564,0.22,26.77,22.27,15.89
1.37,0.0545,0.35,26.59,13.32,9.44
1.46,0.0547,0.26,26.47,14.88,10.49
1.16,0.0542,0.25,26.62,22.89,16.21
1.2,0.0579,0.2,26.49,16.23,11.43
1.64,0.0567,0.27,26.63,13.42,9.47
1.6,0.0594,0.27,26.74,15.99,11.28
1.35,0.0585,0.14,27.35,20.78,14.57
1.51,0.0625,0.16,28.66,20.73,14.71
1.76,0.0635,0.2,28.94,23.03,16.25
1.72,0.0593,0.2,28.37,19.94,14.04
1.68,0.059,0.3,27.98,15.92,11.23
1.37,0.0575,0.43,27.69,20.8,14.58
1.62,0.053,0.31,27.55,22.18,15.51
1.54,0.0562,0.55,27.67,22.12,15.48
1.28,0.0539,0.21,28.2,16.87,11.83
1.46,0.0513,0.2,28.25,20.18,14.17
1.38,0.0514,0.22,27.55,14.43,10.15
1.33,0.051,0.18,27.32,16.34,11.29
1.53,0.052,0.21,26.94,20.56,14.11
1.55,0.0521,0.2,26.97,16.74,11.59
1.53,0.0523,0.25,27.19,18.5,12.79
1.56,0.0584,0.48,27.35,21.28,14.76
1.72,0.056,0.27,27.36,18.85,13.07
1.54,0.0541,0.26,27.4,12.55,8.76
1.43,0.0558,0.26,26.84,19.78,13.66
1.69,0.0584,0.58,26.76,28.17,19.53
1.5,0.0562,0.29,27.13,14.74,10.3
1.35,0.0574,0.35,26.78,11.61,8.12
1.41,0.0563,0.27,26.45,12.28,8.59
1.15,0.0566,0.27,26.4,19.91,13.69
1.37,0.0533,0.21,26.6,19.15,13.22
1.2,0.0542,0.22,26.9,22.91,15.7
1.31,0.0563,0.25,27.01,20.84,14.4
1.42,0.0566,0.22,26.88,19.77,13.57
1.63,0.0563,0.23,27.02,25.53,17.76
1.42,0.054,0.22,26.64,22.39,15.59
1.57,0.0584,0.18,27.04,25.67,17.97
1.48,0.0607,0.24,27.27,17.57,12.37
1.43,0.0585,0.31,27.47,14.52,10.23
1.52,0.0574,0.24,27.53,20.47,14.44
1.27,0.0622,0.17,27.59,14.81,10.44
1.56,0.066,0.19,27.89,19.09,13.45
1.7,0.0666,0.15,28.03,15.63,11.02
1.64,0.0652,0.15,27.79,25.62,17.96
1.57,0.0654,0.12,28.13,22.92,16.1
1.47,0.0665,0.16,28.11,24.55,17.32
1.55,0.0684,0.17,27.52,23.98,16.89
2.04,0.0741,0.2,27.03,20.81,14.72
1.92,0.0786,0.3,27.15,33.67,24.0
1.96,0.0715,0.23,27.49,26.69,19.05
1.61,0.0685,0.15,28.15,19.57,13.93
1.93,0.0684,0.19,27.89,23.88,17.0
1.82,0.0705,0.23,27.75,27.05,19.24
1.85,0.0733,0.38,27.62,15.77,11.21
1.84,0.077,0.52,28.15,20.67,14.61
1.66,0.0705,0.31,27.15,20.05,14.17
1.61,0.0654,0.21,26.91,20.11,14.22
1.6,0.0651,0.4,27.13,25.48,18.07
1.58,0.064,0.64,27.36,23.86,16.93
1.72,0.0601,0.3,27.01,21.1,14.94
1.77,0.0587,0.34,26.71,20.23,14.34
1.92,0.0581,0.4,26.67,27.61,19.58
1.61,0.0589,0.4,26.74,17.17,12.17
1.27,0.0549,0.2,27.01,23.11,16.32
1.54,0.0575,0.24,27.21,11.66,8.25
1.84,0.0559,0.26,26.32,23.92,16.9
1.7,0.0567,0.47,26.62,24.07,16.99
1.36,0.0566,0.33,26.92,18.7,13.18
1.76,0.0549,0.31,26.84,23.58,16.64
1.62,0.0553,0.43,27.16,25.65,18.06
1.46,0.0589,0.32,26.96,30.16,20.78
1.66,0.0585,0.31,26.76,14.93,10.51
1.42,0.0572,0.29,26.73,14.01,9.88
1.29,0.0562,0.37,26.64,21.35,14.94
1.23,0.0572,0.29,26.74,17.4,12.13
1.38,0.0562,0.26,26.54,14.28,9.92
1.4,0.0562,0.25,26.15,16.32,11.3
1.38,0.0578,0.35,27.22,21.16,14.35
1.35,0.0621,0.45,27.01,14.77,10.11
1.34,0.0617,0.39,28.04,14.26,9.57
1.35,0.0628,0.28,29.91,18.46,12.22
1.48,0.0625,0.34,30.25,15.44,10.52
1.59,0.0648,0.2,29.75,17.75,12.3
1.84,0.074,0.47,30.54,19.03,13.4
1.82,0.0637,0.4,31.14,19.11,13.35
1.6,0.0634,0.2,31.38,21.1,14.56
1.54,0.0625,0.33,31.47,20.03,14.09
1.68,0.0621,0.5,32.79,20.71,14.27
1.49,0.0638,0.39,32.39,18.3,12.37
1.22,0.0585,0.25,30.64,16.35,11.05
1.39,0.0646,0.39,30.01,19.09,12.71
1.97,0.0617,0.24,29.8,23.01,15.78
1.64,0.0616,0.4,31.19,22.49,15.39
1.97,0.0586,0.21,30.25,23.04,15.98
1.68,0.0577,0.28,29.11,18.37,12.89
1.58,0.0596,0.27,27.63,25.08,17.42
1.17,0.058,0.28,27.05,11.47,8.02
1.47,0.0589,0.4,27.04,22.35,15.62
1.51,0.0626,0.5,27.83,24.85,17.29
1.95,0.0608,0.32,29.13,18.71,13.13
1.72,0.057,0.25,26.47,22.0,15.34
1.75,0.0632,0.38,27.76,17.56,12.21
1.82,0.067,0.42,29.45,22.29,15.33
1.83,0.0659,0.48,29.81,21.42,14.83
1.51,0.0642,0.36,30.54,20.55,13.8
1.29,0.0607,0.27,30.46,14.88,9.97
1.44,0.0599,0.37,29.84,19.79,13.39
1.36,0.0634,0.42,29.54,19.12,12.69
1.62,0.0617,0.37,30.89,21.59,14.35
2.02,0.0626,0.36,30.83,36.23,24.18
1.63,0.06,0.34,30.18,20.48,13.57
1.71,0.0612,0.41,29.62,27.29,18.36
1.9,0.0668,0.51,29.29,27.35,18.71
2.29,0.0695,0.57,29.07,33.21,22.68
2.12,0.0686,0.5,29.77,23.87,16.44
1.89,0.0671,0.45,29.6,19.35,13.38
1.73,0.063,0.27,29.07,24.05,16.52
1.65,0.0579,0.25,28.49,21.54,14.9
1.51,0.0588,0.32,28.38,21.51,14.95
1.59,0.0589,0.37,28.44,22.81,15.85
1.73,0.0605,0.41,28.12,22.53,15.78
1.49,0.06,0.39,28.05,23.46,16.47
1.43,0.0608,0.46,28.94,19.36,13.63
1.55,0.058,0.33,29.33,16.1,11.32
1.82,0.0587,0.34,28.13,17.95,12.63
1.67,0.0655,0.55,28.5,27.57,19.2
1.89,0.066,0.38,29.72,24.64,16.87
2.21,0.0731,0.41,30.77,28.99,19.85
2.1,0.0741,0.37,32.33,32.51,22.23
2.18,0.0754,0.33,34.44,30.23,21.04
1.99,0.0745,0.41,37.03,29.43,20.39
2.12,0.0905,0.39,35.33,39.57,27.05
2.17,0.0874,0.35,35.97,33.18,22.51
1.51,0.0832,0.32,36.31,22.24,14.97
1.7,0.0708,0.4,36.3,18.01,12.39
1.98,0.0673,0.41,33.59,20.66,14.19
1.91,0.0724,0.43,31.43,21.95,14.83
1.92,0.0718,0.37,30.84,24.52,16.6
2.05,0.0719,0.45,31.47,22.96,15.69
1.53,0.0716,0.4,31.2,19.44,12.76
1.99,0.0697,0.37,31.44,25.38,16.58
1.56,0.0708,0.36,32.89,24.21,15.84
1.71,0.0701,0.41,33.28,22.11,14.53
2.08,0.0743,0.46,35.23,25.51,17.11
1.96,0.0752,0.4,34.48,23.98,16.23
2.19,0.0735,0.3,34.47,31.67,21.63
2.32,0.0654,0.33,32.21,23.93,16.64
1.86,0.0655,0.24,32.66,16.63,11.5
1.8,0.067,0.24,32.76,22.34,15.42
1.62,0.0666,0.3,34.95,17.77,12.19
1.57,0.0711,0.51,35.35,25.39,17.51
2.04,0.0779,0.36,35.38,17.89,12.58
2.11,0.0761,0.44,33.94,31.11,21.44
1.71,0.072,0.29,33.64,20.99,14.56
1.9,0.065,0.3,30.76,21.99,15.51
1.74,0.0624,0.41,27.38,27.74,19.36
1.9,0.0667,0.47,28.36,34.61,23.94
1.32,0.0813,0.39,30.23,23.87,16.17
1.15,0.0994,0.3,36.83,17.19,11.16
1.34,0.0717,0.37,37.81,17.49,11.55
1.24,0.066,0.31,36.44,17.74,11.5
1.2,0.0748,0.29,37.22,20.31,12.91
1.18,0.0666,0.36,38.79,18.63,12.06
1.93,0.0662,0.38,36.17,22.96,15.77
1.92,0.0751,0.27,34.91,20.7,14.48
1.74,0.0736,0.23,31.42,16.15,11.38
1.79,0.0728,0.29,28.64,22.65,15.97
1.79,0.067,0.27,27.54,15.46,10.94
1.57,0.0635,0.42,28.26,14.01,9.85
1.64,0.067,0.59,27.01,21.83,15.2
1.61,0.065,0.48,27.22,21.29,14.55
1.76,0.0601,0.47,27.49,16.92,11.7
1.52,0.0622,0.43,27.91,12.42,8.56
1.81,0.0656,0.41,28.48,15.18,10.38
1.87,0.0688,0.4,29.22,19.5,13.41
2.16,0.0686,0.42,31.54,24.95,17.33
1.99,0.0759,0.44,31.66,31.68,22.06
1.87,0.0754,0.34,32.11,32.97,22.51
2.02,0.0734,0.38,33.48,22.42,15.27
1.51,0.0728,0.36,31.95,19.77,12.98
1.46,0.0738,0.37,34.37,14.7,9.84
1.78,0.0752,0.39,34.04,25.65,17.1
2.22,0.0763,0.43,34.01,26.57,18.29
2.35,0.0753,0.27,32.56,28.41,19.81
1.75,0.0696,0.36,29.66,21.72,15.06
1.7,0.068,0.3,27.22,24.1,16.17
2.22,0.0703,0.41,28.61,30.07,20.61
2.26,0.0686,0.42,31.57,23.43,16.16
1.85,0.0718,0.38,32.46,16.44,11.5
1.68,0.07,0.45,32.34,22.87,15.84
1.28,0.0755,0.34,32.49,15.27,10.53
1.7,0.0802,0.37,30.33,15.67,11.05
2.2,0.0818,0.34,29.66,28.58,20.13
1.85,0.074,0.3,30.54,26.74,18.74
1.82,0.0697,0.42,30.06,11.99,8.43
1.79,0.0716,0.38,26.86,19.37,13.34
1.73,0.0801,0.33,30.28,18.39,12.65
1.9,0.0731,0.32,31.22,22.45,15.49
1.93,0.0697,0.39,32.59,26.38,17.87
1.62,0.0681,0.36,32.52,21.75,14.3
1.56,0.0684,0.34,32.42,22.81,14.84
1.22,0.0669,0.32,33.73,15.69,10.12
1.31,0.067,0.36,35.1,15.28,9.77
1.16,0.0669,0.32,31.72,15.45,9.94
1.78,0.0717,0.3,32.77,23.76,15.77
1.74,0.076,0.32,34.53,23.08,15.5
1.73,0.0737,0.27,33.71,19.05,12.81
2.01,0.0735,0.37,32.26,22.29,15.13
1.76,0.0817,0.51,31.76,21.33,14.38
1.98,0.0787,0.33,33.49,24.1,16.21
2.04,0.0759,0.29,33.17,20.0,13.77
1.97,0.0764,0.34,33.02,22.42,15.13
2.1,0.0748,0.36,32.95,23.61,16.2
1.96,0.0716,0.35,32.58,23.74,16.1
2.04,0.0716,0.39,33.81,23.0,16.02
2.01,0.0739,0.37,33.68,26.34,17.96
1.79,0.0726,0.36,33.14,22.14,15.06
1.86,0.0753,0.26,33.72,19.72,13.3
1.65,0.0743,0.27,35.46,18.68,12.52
2.17,0.0805,0.38,35.22,16.58,11.55
1.88,0.0795,0.39,33.2,19.95,13.93
1.89,0.0792,0.41,32.18,22.79,15.89
1.89,0.0762,0.31,33.63,21.95,15.25
2.27,0.0764,0.32,34.73,27.01,18.96
1.91,0.0811,0.32,36.42,26.46,18.49
1.81,0.0791,0.25,35.33,23.96,16.54
1.79,0.0807,0.29,34.56,16.68,11.69
2.07,0.0863,0.35,34.7,25.87,18.24
1.95,0.0852,0.38,34.37,24.58,17.33
1.86,0.0847,0.37,35.02,21.56,15.28
2.09,0.1006,0.44,34.83,26.55,18.87
2.23,0.0964,0.43,34.52,28.53,20.31
2.35,0.1034,0.4,33.83,24.76,17.62
2.3,0.0956,0.39,33.04,28.82,20.53
2.32,0.0847,0.4,34.18,22.98,16.31
1.89,0.071,0.41,34.03,25.27,17.55
1.5,0.0716,0.46,29.84,15.64,10.74
1.82,0.0733,0.37,29.62,20.77,14.43
1.76,0.0863,0.37,32.38,19.26,13.43
1.32,0.0749,0.37,35.06,20.48,13.65
1.19,0.0702,0.34,34.03,22.05,14.39
1.87,0.0756,0.36,34.84,24.58,16.47
1.68,0.0811,0.33,35.47,19.42,13.2
2.08,0.0782,0.32,34.69,23.68,16.53
2.02,0.0755,0.33,33.22,26.71,18.45
1.69,0.0739,0.37,33.61,22.57,15.07
1.49,0.072,0.34,35.53,17.8,11.9
1.59,0.0738,0.36,38.18,20.36,13.7
1.52,0.0751,0.37,35.39,20.69,13.92
1.68,0.0743,0.42,33.54,26.24,17.7
2.11,0.0711,0.47,33.65,27.07,18.5
1.74,0.0665,0.42,33.71,17.72,12.1
1.52,0.0616,0.25,31.3,12.79,8.75
1.56,0.0619,0.21,29.14,14.81,10.3
2.02,0.0635,0.21,30.22,17.23,12.12
1.51,0.0669,0.25,29.57,26.41,18.41
1.46,0.068,0.19,29.73,22.54,15.64
1.77,0.0678,0.21,30.44,22.03,15.51
1.86,0.072,0.33,30.6,20.77,14.63
2.31,0.0756,0.39,29.5,26.37,18.82
2.07,0.0755,0.29,29.54,27.69,19.86
1.35,0.0733,0.33,30.84,26.04,18.24
2.02,0.0737,0.6,31.03,36.49,25.46
1.58,0.0707,0.44,31.21,15.76,11.05
1.46,0.0674,0.24,30.37,14.47,10.08
1.38,0.0703,0.19,29.31,14.75,10.43
1.47,0.0723,0.2,29.29,15.48,10.93
1.76,0.0694,0.16,28.89,22.07,15.65
1.99,0.0697,0.13,28.99,19.97,14.21
2.11,0.0711,0.15,29.57,21.89,15.55
2.18,0.072,0.19,29.41,17.5,12.46
2.12,0.0829,0.4,28.41,27.82,19.89
1.95,0.0815,0.67,27.68,26.23,18.67
2.12,0.0798,0.51,27.84,21.58,15.34
1.98,0.0755,0.3,28.28,25.9,18.41
1.81,0.0678,0.37,27.5,27.57,19.59
1.82,0.0649,0.4,28.44,20.85,14.75
1.71,0.066,0.47,30.03,26.18,18.47
1.77,0.0656,0.46,30.35,23.58,16.26
1.32,0.0603,0.29,28.95,15.7,10.62
1.2,0.0603,0.29,27.92,15.21,10.21
1.51,0.0648,0.44,29.22,20.74,14.05
1.31,0.065,0.35,31.58,15.25,10.36
1.17,0.0658,0.32,30.97,14.55,9.69
1.36,0.0628,0.27,30.05,13.82,9.44
1.67,0.0592,0.3,28.3,20.31,14.08
1.85,0.0669,0.38,28.45,23.36,16.32
1.67,0.0681,0.46,28.59,23.01,15.92
1.38,0.0679,0.53,28.98,13.07,9.15
1.77,0.0658,0.43,29.7,16.63,11.73
1.7,0.0643,0.41,29.83,21.59,15.22
1.56,0.0643,0.33,29.22,16.9,11.81
1.27,0.0659,0.27,28.92,21.3,14.71
1.32,0.0679,0.35,28.7,17.68,12.32
1.34,0.0688,0.42,28.74,27.41,19.19
1.49,0.0735,0.53,28.28,29.15,20.46
1.41,0.0666,0.19,28.06,24.03,16.92
1.8,0.067,0.16,28.56,28.74,20.32
1.81,0.0641,0.19,27.36,31.0,21.95
1.62,0.0604,0.37,25.68,22.48,15.37
1.84,0.057,0.48,25.49,25.18,16.97
1.99,0.0582,0.36,26.18,23.27,15.93
2.04,0.0662,0.33,26.63,20.0,13.99
1.87,0.0678,0.23,26.42,17.1,12.03
1.83,0.0673,0.21,25.92,20.66,14.46
2.05,0.0663,0.24,25.98,24.72,17.38
1.54,0.0665,0.28,25.58,16.65,11.7
1.4,0.0641,0.17,26.25,14.76,10.41
1.91,0.0637,0.17,29.15,22.09,15.68
2.29,0.068,0.26,29.94,33.74,24.17
1.72,0.0665,0.18,30.65,16.0,11.45
1.59,0.0651,0.14,30.37,30.69,21.82
1.72,0.0641,0.14,28.69,22.5,16.05
1.73,0.0656,0.19,26.51,26.16,18.76
1.4,0.0631,0.55,25.59,27.71,20.0
1.39,0.0642,0.21,25.68,32.4,23.36
1.36,0.0688,0.27,25.91,17.82,12.77
1.21,0.0673,0.39,26.58,18.2,12.9
1.23,0.0652,0.31,26.74,25.91,18.32
1.45,0.0645,0.22,27.65,17.79,12.55
1.57,0.0659,0.22,28.44,12.45,8.81
1.86,0.0633,0.18,27.25,23.1,16.29
1.46,0.0633,0.45,26.76,28.3,20.01
1.36,0.0645,0.55,26.56,22.37,15.89
1.55,0.0581,0.29,26.52,15.6,10.99
1.62,0.0553,0.25,26.5,19.39,13.69
1.28,0.0546,0.25,27.07,12.79,9.02
1.38,0.0553,0.27,26.78,14.93,10.45
1.47,0.0566,0.28,26.44,18.14,12.66
1.47,0.0575,0.25,26.27,21.67,15.17
1.49,0.0604,0.29,26.16,19.72,13.83
1.27,0.0593,1.02,26.2,21.29,14.9
1.18,0.0595,0.53,26.44,17.97,12.48
1.48,0.0617,0.42,26.3,16.19,11.31
1.53,0.0592,0.23,26.11,18.41,12.9
1.65,0.0634,0.19,25.99,20.76,14.57
1.43,0.0628,0.16,26.23,17.72,12.45
1.63,0.0636,0.14,26.7,24.06,17.0
1.62,0.0677,0.16,27.66,21.11,14.92
1.89,0.074,0.17,27.48,22.72,16.15
1.88,0.0721,0.16,26.99,21.89,15.48
1.92,0.0705,0.12,27.28,30.85,21.77
1.88,0.0694,0.15,27.45,29.9,21.09
1.71,0.0676,0.17,26.35,19.29,13.57
1.78,0.0668,0.19,26.19,30.63,21.57
1.89,0.0686,0.35,27.05,20.35,14.51
1.77,0.0765,0.67,27.04,21.33,15.38
1.41,0.0696,0.22,27.29,19.01,13.59
1.82,0.0747,0.18,27.11,31.03,22.11
2.78,0.0747,0.2,26.86,15.07,10.8
1.77,0.0791,0.28,26.52,27.18,19.44
1.85,0.0752,0.2,26.22,19.31,13.78
1.76,0.0721,0.19,26.18,32.98,23.61
1.53,0.0672,0.13,26.56,17.28,12.42
1.44,0.0659,0.11,26.31,19.53,13.96
1.68,0.0625,0.13,25.95,15.11,10.74
1.6,0.0694,0.14,26.04,22.56,16.14
1.46,0.0681,0.11,25.69,25.46,18.22
1.17,0.072,0.12,25.31,22.6,16.19
1.2,0.0775,0.16,25.61,28.22,20.22
1.28,0.0694,0.16,25.99,26.7,18.93
1.41,0.0672,0.21,26.21,30.2,21.07
1.71,0.0677,0.23,26.21,30.93,21.46
1.73,0.0746,0.22,26.35,29.1,20.47
1.61,0.0691,0.21,26.46,31.36,22.05
1.6,0.0758,0.22,26.42,41.39,29.09
1.79,0.0779,0.23,26.46,40.63,28.66
1.94,0.0751,0.24,26.61,25.73,18.19
1.52,0.0681,0.3,26.81,16.15,11.47
1.12,0.0669,0.31,27.01,27.57,19.45
1.6,0.0769,0.4,27.05,21.3,15.15
1.52,0.0654,0.3,26.85,24.49,17.32
1.41,0.0649,0.38,26.17,24.7,17.23
1.59,0.0594,0.31,26.15,18.62,13.11
1.5,0.0593,1.0,26.34,14.54,10.25
1.58,0.0618,1.3,26.43,23.06,16.22
1.48,0.0639,0.5,26.41,24.76,17.35
1.31,0.0589,0.5,26.28,16.86,11.9
1.69,0.0573,0.32,26.32,20.49,14.46
1.43,0.0601,0.38,26.13,20.23,14.31
1.9,0.0625,0.16,25.73,17.76,12.57
1.53,0.0633,0.15,25.79,15.63,11.03
1.39,0.0636,0.17,25.97,9.37,6.62
1.44,0.062,0.18,26.19,16.81,11.88
1.67,0.0642,0.18,26.07,18.45,13.04
1.65,0.0696,0.17,25.94,13.49,9.54
1.49,0.0775,0.16,26.13,17.74,12.63
1.58,0.0728,0.16,25.87,20.1,14.23
1.82,0.0657,0.15,25.81,15.54,10.96
2.1,0.0704,0.15,26.01,27.21,19.19
1.78,0.0703,0.15,25.6,32.28,22.8
1.57,0.0693,0.16,25.62,31.55,22.35
1.6,0.0775,0.14,25.64,43.45,30.6
1.61,0.0837,0.17,25.55,46.86,33.03
1.49,0.0801,0.17,26.01,38.86,27.43
1.87,0.0789,0.18,26.03,44.24,31.41
2.29,0.0825,0.2,26.02,39.02,27.81
2.33,0.0788,0.22,26.29,45.95,32.72
2.38,0.0836,0.24,26.19,51.89,36.95
2.17,0.0835,0.22,26.54,39.34,27.94
2.23,0.0883,0.21,26.41,56.57,40.18
